[2026-05-14 13:06:33] SESSION_START: Face Recognition Experiment
[2026-05-14 13:06:33] SETUP: Model=multiplicativo | Rank=25 | MaxIter=500
[2026-05-14 13:06:33] STATUS: Starting Training Loop...
[13:06:33] [MULT_ALGO] Starting Optimization (MaxIter=500, Tol=0.0001)
[13:06:33] [MULT_ALGO] ITER |  RECON_ERROR  |   DELTA_W  |   DELTA_H  | TIME(s)
093 |   31    |   31    |  0.0738  |   0211    | HIT 
094 |   32    |   02    |  0.1685  |   0014    | MISS
095 |   32    |   32    |  0.1211  |   0223    | HIT 
096 |   32    |   32    |  0.0665  |   0219    | HIT 
097 |   33    |   33    |  0.0668  |   0230    | HIT 
098 |   33    |   33    |  0.1059  |   0228    | HIT 
099 |   33    |   33    |  0.0712  |   0230    | HIT 
100 |   34    |   34    |  0.0538  |   0237    | HIT 
101 |   34    |   34    |  0.0431  |   0233    | HIT 
102 |   34    |   34    |  0.0286  |   0233    | HIT 
103 |   35    |   35    |  0.0977  |   0245    | HIT 
104 |   35    |   35    |  0.0969  |   0245    | HIT 
105 |   35    |   35    |  0.1413  |   0244    | HIT 
106 |   36    |   36    |  0.0849  |   0252    | HIT 
107 |   36    |   36    |  0.0590  |   0249    | HIT 
108 |   36    |   36    |  0.1122  |   0249    | HIT 
109 |   37    |   37    |  0.0996  |   0254    | HIT 
110 |   37    |   37    |  0.0996  |   0258    | HIT 
111 |   37    |   37    |  0.0484  |   0253    | HIT 
112 |   38    |   38    |  0.0913  |   0262    | HIT 
113 |   38    |   38    |  0.0843  |   0262    | HIT 
114 |   38    |   38    |  0.1061  |   0260    | HIT 
115 |   39    |   39    |  0.0997  |   0272    | HIT 
116 |   39    |   39    |  0.1116  |   0270    | HIT 
117 |   39    |   39    |  0.0774  |   0272    | HIT 
118 |   40    |   40    |  0.1069  |   0279    | HIT 
119 |   40    |   40    |  0.0845  |   0274    | HIT 
120 |   40    |   35    |  0.1272  |   0244    | MISS
--------------------------------------------------------
[2026-05-14 13:07:02] SUMMARY: Accuracy=84.17% (101/120)
[2026-05-14 13:07:02] SESSION_END
